page_no,image_filename,page_kind,failure_type,attempts,last_error_message,source_zip,batch,created_at
124,named reactions_124.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T11:19:27Z
125,named reactions_125.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T11:23:08Z
131,named reactions_131.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T11:40:02Z
133,named reactions_133.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T11:45:10Z
139,named reactions_139.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T11:52:43Z
141,named reactions_141.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T11:58:19Z
142,named reactions_142.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T12:02:33Z
143,named reactions_143.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T12:04:13Z
144,named reactions_144.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T12:06:10Z
145,named reactions_145.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T12:07:45Z
